<ID|readonly|noverify>,ENGLISH,FRENCH,ITALIAN,GERMAN,SPANISH,RUSSIAN,POLISH,CZECH,TURKISH,CHINESE,JAPANESE,PORTUGUESE,UKRAINIAN,SERBIAN,HUNGARIAN,KOREAN,BELARUSIAN,ROMANIAN,TCHINESE,HCHINESE,VIETNAMESE,COMMENTS,MAX_CHARS
il_8_1944,IL-8 (1944),IL-8 (1944),IL-8 (1944),IL-8 (1944),IL-8 (1944),Ил-8 (1944),IL-8 (1944),IL-8 (1944),IL-8 (1944),伊\t尔\t-8 1944 型,IL-8 (1944),IL-8 (1944),Іл-8 (1944),IL-8 (1944),IL-8 (1944),IL-8 (1944),Ил-8 (1944),IL-8 (1944),伊\t爾\t-8 (1944),IL-8 (1944),IL-8 (1944),,
hurricane_mk1b,Sea Hurricane Mk IB,Sea Hurricane Mk IB,Sea Hurricane Mk.IB,Sea Hurricane Mk IB,Sea Hurricane Mk IB,Sea Hurricane Mk.IB,Sea Hurricane Mk IB,Sea Hurricane Mk.IB,Sea Hurricane Mk IB,海\t飓\t风 Mk IB,シーハリケーン Mk.IB,Sea Hurricane Mk IB,Sea Hurricane Mk.IB,Si Hariken Mk.IB,Sea Hurricane Mk. IB,시 허리케인 IB,Sea Hurricane Mk.IB,Sea Hurricane Mk IB,海\t颶\t風 Mk IB,“海\t飓\t风”\tMk IB,Sea Hurricane Mk IB,,
hurricane_mk1c,Sea Hurricane Mk IC,Sea Hurricane Mk IС,Sea Hurricane Mk.IC,Sea Hurricane Mk IC,Sea Hurricane Mk IС,Sea Hurricane Mk.IС,Sea Hurricane Mk IС,Sea Hurricane Mk.IC,Sea Hurricane Mk IC,海\t飓\t风 Mk IC,シーハリケーン Mk.IС,Sea Hurricane Mk IC,Sea Hurricane Mk.IС,Si Hariken Mk.IC,Sea Hurricane Mk. IС,시 허리케인 IС,Sea Hurricane Mk.IС,Sea Hurricane Mk IC,海\t颶\t風 Mk IC,“海\t飓\t风”\tMk IC,Sea Hurricane Mk IC,,
gladiator_mk2_navy,Sea Gladiator Mk I,Sea Gladiator Mk I,Sea Gladiator Mk.I,Sea Gladiator Mk I,Sea Gladiator Mk I,Sea Gladiator Mk.I,Sea Gladiator Mk I,Sea Gladiator Mk.I,Sea Gladiator Mk I,海\t斗\t士 Mk I,シーグラディエーター Mk.I,Sea Gladiator Mk I,Sea Gladiator Mk.I,Si Gladijator Mk.I,Sea Gladiator Mk. I,시 글래디에이터 I,Sea Gladiator Mk.I,Sea Gladiator Mk I,海\t鬥\t士 Mk I,“海\t斗\t士”\tMk I,Sea Gladiator Mk I,,
spitfire_fr_mk14e,Prendergast's Spitfire FR Mk XIVe,Prendergast's Spitfire FR Mk XIVe,Spitfire FR Mk.XIVe di Prendergast,Prendergast's Spitfire FR Mk XIVe,Spitfire FR Mk XIVe de Prendergast,Spitfire FR Mk.XIVe Прендергаста,Spitfire FR Mk XIVe Prendergasta,Spitfire FR Mk.XIVE [Prendergast],Prendergast's Spitfire FR Mk XIVe,喷\t火 FR Mk XIVE (普\t伦\t德\t加\t斯\t特\t座\t机),スピットファイア FR Mk.XIVe プレンダーガスト\t搭乗機,Spitfire FR Mk XIVe de Prendergast,Spitfire FR Mk.XIVe (Прендергаста),Prendergast's Spitfire FR Mk XIVe,Spitfire FR. Mk. XIVE (Prendergast),스핏파이어 FR Mk XIVe 프렌더개스트 탑승기,Spitfire FR Mk.XIVe,Spitfire FR Mk XIVe,噴\t火 FR Mk XIVE (普\t倫\t德\t加\t斯\t特\t座\t機),“喷\t火” FR Mk XIVE\t（普\t伦\t德\t加\t斯\t特\t座\t机）,Prendergast's Spitfire FR Mk XIVe,,
il_2_1942_luftwaffe,▀IL-2 (1942),▀IL-2 (1942),▀IL-2 (1942),▀IL-2 (1942),▀IL-2 (1942),▀IL-2 (1942),▀Ił-2 (1942),▀ IL-2 obr. 1942,▀IL-2 (1942),▀\t伊\t尔\t-2 1942 型,▀IL-2 (1942),▀IL-2 (1942),▀IL-2 (1942),IL-2 (1942),▀Il-2 (1942),▀IL-2 (1942),▀Іл-2 (1942),▀IL-2 (1942),▀\t伊\t爾\t-2 (1942),〔D〕\t伊\t尔\t-2 (1942),▀IL-2 (1942),,
spitfire_ix_plagis,Plagis' Spitfire LF Mk IXc,Plagis' Spitfire LF. Mk IXc,Spitfire LF. Mk.IXc di Plagis,Plagis Spitfire LF. Mk IXc,Spitfire LF Mk IXc de Plagis,Spitfire LF Mk.IXc Плагиса,Spitfire LF Mk IXc Plagisa,Spitfire LF Mk.IXC [Plagis],Plagis' Spitfire LF Mk IXc,喷\t火 LF Mk IXC (普\t拉\t吉\t斯\t座\t机),Plagisの\tスピットファイア LF. Mk IX,Spitfire LF Mk IXc de Plagis,Spitfire LF Mk.IXc (Плагіса),Plegisov Spitfajer LF.Mk IX,Spitfire LF. Mk. IXC (Plagis),스핏파이어 LF IXc,Spitfire LF Mk.IXc Плагіса,Spitfire LF Mk IXc [Plagis],噴\t火 LF Mk IXC\t（普\t拉\t吉\t斯\t座\t機）,“喷\t火”\tLF Mk IX\t（普\t拉\t吉\t斯\t座\t机）,Plagis' Spitfire LF Mk IXc,,
j2m5,J2M5,J2M5,J2M5,J2M5,J2M5,J2M5,J2M5,J2M5 Raiden,J2M5,雷\t电\t三\t三\t型,雷電三三型,J2M5,J2M5,J2M5,J2M5,J2M5,J2M5,J2M5,雷\t電\t三\t三\t型,JM2-33,J2M5,,
hurricane_mk4,Hurricane Mk IV,Hurricane Mk IV,Hurricane Mk.IV,Hurricane Mk IV,Hurricane Mk IV,Hurricane Mk.IV,Hurricane Mk IV,Hurricane Mk.IV,Hurricane Mk IV,飓\t风 Mk IV,ハリケーン Mk IV,Hurricane Mk IV,Hurricane Mk.IV,Hjuriken Mk IV,Hurricane Mk. IV,허리케인 Mk IV,Hurricane Mk.IV,Hurricane Mk IV,颶\t風 Mk IV,“飓\t风”\tMk IV,Hurricane Mk IV,,
firebrand_tf4,Firebrand TF Mk IV,Firebrand TF Mk IV,Firebrand TF Mk.IV,Firebrand TF Mk IV,Firebrand TF Mk IV,Firebrand TF.Mk.IV,Firebrand TF Mk IV,Firebrand TF Mk.IV,Firebrand TF Mk IV,火\t把 TF Mk IV,ファイアブランド TF Mk IV,Firebrand TF Mk IV,Firebrand TF Mk.IV,Fajerbrend TF Mk IV,Firebrand TF. Mk. IV,파이어브랜드 TF IV,Firebrand TF.Mk.IV,Firebrand TF Mk IV,火\t把 TF Mk IV,“火\t把”\tTF Mk IV,Firebrand TF Mk IV,,
hurricanemkii_ussr,▂Hurricane Mk IIB,▂Hurricane Mk IIB,▂Hurricane Mk IIB,▂Hurricane Mk IIB,▂Hurricane Mk IIB,▂Hurricane Mk.IIB,▂Hurricane Mk IIB,▂ Hurricane Mk.IIB,▂Hurricane Mk IIB,▂\t飓\t风 Mk IIB,▂ハリケーン Mk IIB,▂Hurricane Mk IIB,▂Hurricane Mk.IIB,▂Hjuriken Mk IIB,▂Hurricane Mk. IIB,▂허리케인 Mk IIB,▂Hurricane Mk.IIB,▂Hurricane Mk IIB,▂\t颶\t風 Mk IIB,▂\t“飓\t风”\tMk IIB,▂Hurricane Mk IIB,,
yak-3_vk107,Yak-3 (VK-107),Yak-3 (VK-107),Yak-3 (VK-107),Yak-3 (VK-107),Yak-3 (VK-107),Як-3 (ВК-107),Jak-3 (WK-107),Jak-3 VK-107,Yak-3 (VK-107),雅\t克\t-3 (VK-107),Yak-3 (VK-107),Yak-3 (VK-107),Як-3 (BK-107),Jak-3 (VK-107),Jak-3 (VK-107),Yak-3 (VK-107),Як-3 (BK-107),Yak-3 (VK-107),雅\t克\t-3 (VK-107),雅\t克\t-3/VK-107,Yak-3 (VK-107),,
p-51_a-36,A-36,A-36,A-36,A-36,A-36,A-36,A-36,A-36A Apache,A-36,A-36,A-36,A-36,A-36,A-36,A-36,A-36,A-36,A-36,A-36,A-36\t“阿\t帕\t奇”,A-36,,
sb2c_1c,SB2C-1C,SB2C-1C,SB2C-1C,SB2C-1C,SB2C-1C,SB2C-1C,SB2C-1C,SB2C-1C,SB2C-1C,SB2C-1C,SB2C-1C,SB2C-1c,SB2C-1C,SB2C-1C,SB2C-1C,SB2C-1c,SB2C-1c,SB2C-1c,SB2C-1C,SB2C-1C\t“地\t狱\t俯\t冲\t者”,SB2C-1C,,
j2m5_30mm,J2M5,J2M5,J2M5 (30mm),J2M5,J2M5,J2M5,J2M5,J2M5 Raiden (30 mm),J2M5,雷\t电\t三\t三\t型\t/\t五\t式\t机\t炮,▅雷電三三型,J2M5,J2M5,▅J2M5,J2M5 (30 mm),J2M5,J2M5,J2M5,雷\t電\t三\t三\t型,JM2-33,J2M5,,
do_17e_1,Do 17 E-1,Do 17 E-1,Do 17 E-1,Do 17 E-1,Do 17 E-1,Do 17 E-1,Do 17 E-1,Do 17 E-1,Do 17 E-1,Do 17 E-1,Do 17 E-1,Do 17 E-1,Do.17E-1,Do 17 E-1,Do 17 E-1,Do 17 E-1,Do.17E-1,Do 17 E-1,Do 17 E-1,KG 17 E-1,Do 17 E-1,,
ki_44_1,Ki-44-I,Ki-44-I,Ki-44-I,Ki-44-I,Ki-44-I,Ki-44-I,Ki-44-I,Ki-44-I Šóki,Ki-44-I,二\t式\t战\t一\t型\t甲,二式戦一型,Ki-44-I,Ki-44-I,Ki-44-I,Ki-44-I,Ki-44-I,Ki-44-I,Ki-44-I,二\t式\t戰\t一\t型,K-44-Ia,Ki-44-I,,
ki_44_1_ep,Ki-44-I 34,Ki-44-I 34,Ki-44-I 34,Ki-44-I 34,Ki-44-I 34,Ki-44-I 34,Ki-44-I 34,Ki-44-I 34 Šóki,"Ki-44-I ""34""",二\t式\t战\t一\t型 (“34”\t号),二式戦一型 134号機,Ki-44-I 34,Ki-44-I 34,Ki-44-I 34,Ki-44-I „34”,Ki-44-I 34,Ki-44-I 34,Ki-44-I 34,二\t式\t戰\t一\t型\t（“34”\t號）,K-44-I 34,Ki-44-I 34,,
yak-9b,Yak-9B,Yak-9B,Yak-9B,Yak-9B,Yak-9B,Як-9Б,Jak-9B,Jak-9B,Yak-9B,雅\t克\t-9B,Yak-9B,Yak-9B,Як-9Б,Jak-9B,Jak-9B,Yak-9B,Як-9Б,Yak-9B,雅\t克\t-9B,雅\t克\t-9B,Yak-9B,,
pe-8_m82,Pe-8,Pe-8,Pe-8 M82,Pe-8,Pe-8,Пе-8,Pe-8,Pe-8,Pe-8,佩\t-8,Pe-8,Pe-8,Пе-8,Pe-8,Pe-8,Pe-8,Пе-8,Pe-8,佩\t-8,佩\t-8,Pe-8,,
hunter_f1,Hunter F.1,Hunter F 1,Hunter F.1,Hunter F.1,Hunter F.1,Hunter F.1,Hunter F.1,Hunter F Mk.1,Hunter F.1,猎\t人 F.1,ハンター F.1,Hunter F.1,Hunter F.1,Hunter F.1,Hunter F.1,헌터 F.1,Hunter F.1,Hunter F 1,獵\t人 F.1,“猎\t人”\tF.1,Hunter F.1,,
hunter_f6,Hunter F.6,Hunter F.6,Hunter F.6,Hunter F.6,Hunter F.6,Hunter F.6,Hunter F.6,Hunter F Mk.6,Hunter F.6,猎\t人 F.6,ハンター F.6,Hunter F.6,Hunter F.6,Hunter F.6,Hunter F.6,헌터 F.6,Hunter F.6,Hunter F.6,獵\t人 F.6,“猎\t人”\tF.6,Hunter F.6,,
hunter_f6_holland,◘Hunter F.6,◘Hunter F.6,◘Hunter F.6,◘Hunter F.6,◘Hunter F.6,◘Hunter F.6,◘Hunter F.6,◘Hunter F.6,◘Hunter F.6,◘\t猎\t人 F.6,◘ハンター F.6,◘Hunter F.6,◘Hunter F.6,◘Hunter F.6,◘Hunter F.6,◘헌터 F.6,◘Hunter F.6,◘Hunter F.6,◘\t獵\t人 F.6,◘Hunter F.6,◘Hunter F.6,,
spitfire_fr_mk14e_belgium,▄Spitfire FR Mk XIVe,▄Spitfire FR Mk XIVe,▄Spitfire FR Mk XIVe,▄Spitfire FR Mk XIVe,▄Spitfire FR Mk XIVe,▄Spitfire FR Mk.XIVe,▄Spitfire FR Mk XIVe,▄Spitfire FR Mk XIVe,▄Spitfire FR Mk XIVe,▄\t喷\t火 FR Mk XIVE,▄スピットファイア FR Mk XIVe,▄Spitfire FR Mk XIVe,▄Spitfire FR Mk.XIVe,▄Spitfire FR Mk XIVe,▄Spitfire FR Mk XIVe,▄스핏파이어 FR XIVe,▄Spitfire FR Mk.XIVe,▄Spitfire FR Mk XIVe,▄\t噴\t火 FR Mk XIVE,▄Spitfire FR Mk XIVe,▄Spitfire FR Mk XIVe,,
hunter_f9_rhodesia,Hunter FGA.9,Hunter FGA.9,Hunter FGA.9,Hunter FGA.9,Hunter FGA.9,Hunter FGA.9,Hunter FGA.9,Hunter FGA Mk.9 [RRAF],Hunter FGA.9,猎\t人 FGA.9,ハンター FGA.9,Hunter FGA.9,Hunter FGA.9,Hunter FGA.9,Hunter FGA.9,헌터 FGA.9,Hunter FGA.9,Hunter FGA.9,獵\t人 FGA.9,“猎\t人”\tFGA.9,Hunter FGA.9,,
hunter_f58_switzerland,◌Hunter F.58,◌Hunter F.58,◌Hunter F.58,◌Hunter F.58,◌Hunter F.58,◌Hunter F.58,◌Hunter F.58,◌Hunter F.58,◌Hunter F.58,◌\t猎\t人 F.58,ハンター F.58,◌Hunter F.58,◌Hunter F.58,◌Hunter F.58,◌Hunter F.58,◌헌터 F.58,◌Hunter F.58,◌Hunter F.58,◌\t獵\t人 F.58,◌Hunter F.58,◌Hunter F.58,,
ffa_p16,FFA P-16,FFA P-16,FFA P-16,FFA P-16,FFA P-16,FFA P-16,FFA P-16,FFA P-16,FFA P-16,P-16,FFA P-16,FFA P-16,FFA P-16,FFA P-16,FFA P-16,FFA P-16,FFA P-16,FFA P-16,FFA P-16,FFA P-16,FFA P-16,,
p-38e,P-38E,P-38E,P-38E,P-38E,P-38E,P-38E,P-38E,P-38E Lightning,P-38E,P-38E,P-38E,P-38E,P-38E,P-38E,P-38E,P-38E,P-38E,P-38E,P-38E,P-38E\t“闪\t电”,P-38E,,
p-38k,P-38K,P-38K,P-38K,P-38K,P-38K,P-38K,P-38K,P-38K Lightning,P-38K,P-38K,P-38K,P-38K,P-38K,P-38K,P-38K,P-38K,P-38K,P-38K,P-38K,P-38K\t“闪\t电”,P-38K,,
p-38l,P-38L-5-LO,P-38L-5-LO,P-38L,P-38L-5-LO,P-38L-5-LO,P-38L-5-LO,P-38L-5-LO,P-38L-5 Lightning,P-38L-5-LO,P-38L-5-LO,P-38L-5-LO,P-38L-5-LO,P-38L-5-LO,P-38L-5-LO,P-38L-5-LO,P-38L-5-LO,P-38L-5-LO,P-38L-5-LO,P-38L-5-LO,P-38L\t“闪\t电”,P-38L-5-LO,,
p-38l_1_china_rocaf,␗P-38L-1,␗P-38L-1,␗P-38L,␗P-38L-1,␗P-38L-1,␗P-38L-1,␗P-38L-1,␗ P-38L-1 Lightning,␗P-38L-1,␗\tP-38L-1,␗P-38L-1,␗P-38L-1,␗P-38L-1,␗P-38L-1,␗P-38L-1,␗P-38L-1,␗P-38L-1,␗P-38L-1,␗\tP-38L-1,☆\tP-38L-1,␗P-38L-1,,
do_17z_2,Do 17 Z-2,Do 17 Z-2,Do 17 Z-2,Do 17 Z-2,Do 17 Z-2,Do 17 Z-2,Do 17 Z-2,Do 17 Z-2,Do 17 Z-2,Do 17 Z-2,Do 17 Z-2,Do 17 Z-2,Do.17Z-2,Do 17 Z-2,Do 17 Z-2,Do 17 Z-2,Do.17Z-2,Do 17 Z-2,Do 17 Z-2,KG 17 Z-2,Do 17 Z-2,,
do_17z_7,Do 17 Z-7,Do 17 Z-7,Do 17 Z-7,Do 17 Z-7,Do 17 Z-7,Do 17 Z-7,Do 17 Z-7,Do 17 Z-7,Do 17 Z-7,Do 17 Z-7,Do 17 Z-7,Do 17 Z-7,Do.17Z-7,Do 17 Z-7,Do 17 Z-7,Do 17 Z-7,Do.17Z-7,Do 17 Z-7,Do 17 Z-7,KG 17 Z-7,Do 17 Z-7,,
sb2c_4,SB2C-4,SB2C-4,SB2C-4,SB2C-4,SB2C-4,SB2C-4,SB2C-4,SB2C-4 Helldiver,SB2C-4,SB2C-4,SB2C-4,SB2C-4,SB2C-4,SB2C-4,SB2C-4,SB2C-4,SB2C-4,SB2C-4,SB2C-4,SB2C-4\t“地\t狱\t俯\t冲\t者”,SB2C-4,,
p-51a_tl,P-51A,P-51A,P-51A,P-51A,P-51A,P-51A,P-51A,P-51A Mustang,P-51A,P-51A,P-51A,P-51A,P-51A,P-51A,P-51A,P-51A,P-51A,P-51A,P-51A,P-51A-TL\t“野\t马”,P-51A,,
tbd-1_1938,TBD-1,TBD-1,TBD-1,TBD-1,TBD-1,TBD-1,TBD-1,TBD-1 Devastator,TBD-1,TBD-1,TBD-1,TBD-1,TBD-1,TBD-1,TBD-1,TBD-1,TBD-1,TBD-1,TBD-1,TBD-1\t“蹂\t躏\t者”,TBD-1,,
p-38j,P-38J-15,P-38J-15,P-38J-15,P-38J-15,P-38J-15,P-38J-15,P-38J-15,P-38J-15 Lightning,P-38J-15,P-38J-15,P-38J-15,P-38J-15,P-38J-15,P-38J-15,P-38J-15,P-38J-15,P-38J-15,P-38J-15,P-38J-15,P-38J-15\t“闪\t电”,P-38J-15,,
a7m1,A7M1 (NK9H),A7M1 (NK9H),А7М1 (NK9H),А7М1 (NK9H),A7M1 (NK9H),A7M1 (NK9H),А7М1 (NK9H),A7M1 Reppú,А7М1 (NK9H),试\t制\t烈\t风,試製烈風,A7M1 (NK9H),А7М1 (NK9H),A7M1 (NK9H),А7М1,A7M1 (NK9H),A7M1 (NK9H),A7M1 (NK9H),試\t製\t烈\t風,AM7\t（试）,A7M1 (NK9H),,
po-2_nw,Po-2 Night Witch,Po-2 Night Witch,Po-2 Night Witch,Po-2 “Nachthexe”,"Po-2 ""Bruja Nocturna""",По-2 Ночная Ведьма,Po-2 Nocna Wiedźma,"Po-2 ""Nacht Hexen""",Po-2 Night Witch,波\t-2 夜\t魔\t女,Po-2 ナイトウィッチ,Po-2 Night Witch,По-2 Нічна відьма,Po-2 Night Witch,Po-2 „Éjszakai Boszorkány”,Po-2 밤의 마녀,По-2 Начная Ведзьма,Po-2 Vrăjitoarea nopții,波\t-2 暗\t夜\t女\t巫,波\t-2\t“夜\t魔\t女”,Po-2 Night Witch,,
a7m2,A7M2,A7M2,А7М2,А7М2,A7M2,A7M2,А7М2,A7M2 Reppú,А7М2,烈\t风\t一\t一\t型,烈風,A7M2,А7М2,A7M2,А7М2,A7M2,A7M2,A7M2,烈\t風\t一\t一\t型,AM7-11,A7M2,,
ki_61_1a_tei,Ki-61-I tei,Ki-61-I tei,Ki-61-I tei,Ki-61-I tei,Ki-61-I tei,Ki-61-I tei,Ki-61-I tei,Ki-61-I-tei Hien,Ki-61-I tei,三\t式\t战\t一\t型\t丁,三式戦一型 丁,Ki-61-I tei,Ki-61-I tei,Ki-61-I tei,Ki-61-I tei,Ki-61-I정,Ki-61-I tei,Ki-61-I tei,三\t式\t戰\t一\t型 丁,K-61-Id,Ki-61-I tei,,
bf2c_1,BF2C-1,BF2C-1,BF2C-1,BF2C-1,BF2C-1,BF2C-1,BF2C-1,BF2C-1,BF2C-1,BF2C-1,BF2C-1,BF2C-1,BF2C-1,BF2C-1,BF2C-1,BF2C-1,BF2C-1,BF2C-1,BF2C-1,BF2C-1,BF2C-1,,
f3f-2,F3F-2,F3F-2,F3F-2,F3F-2,F3F-2,F3F-2,F3F-2,F3F-2,F3F-2,F3F-2,F3F-2,F3F-2,F3F-2,"F3F-2
",F3F-2,F3F-2,F3F-2,F3F-2,F3F-2,F3F-2,F3F-2,,
f3f-2_galer,Galer's F3F-2,Galer's F3F-2,F3F-2 di Galer,Galers F3F-2,F3F-2 de Galer,F3F-2 Гэлера,F3F-2 Galera,F3F-2 [Galer],Galer's F3F-2,F3F-2 (盖\t勒\t座\t机),ゲイラーの F3F-2,F3F-2 de Galer,F3F-2 (Гелера),Galerov F3F-2,F3F-2 (Galer),F3F-2 게일러 탑승기,F3F-2 Гэлера,F3F-2 [Galer],F3F-2\t（蓋\t勒\t座\t機）,F3F-2\t（盖\t勒\t座\t机）,Galer's F3F-2,,
mig-17,MiG-17,MiG-17,MiG-17,MiG-17,MiG-17,МиГ-17,MiG-17,MiG-17,MiG-17,米\t格\t-17,MiG-17,MiG-17,МіГ-17,MiG-17,MiG-17,MiG-17,МіГ-17,MiG-17,米\t格\t-17,米\t格\t-17,MiG-17,,
mig-17p_lim_5p,◊Lim-5P,◊Lim-5P,◊Lim-5P,Lim-5P,◊Lim-5P,◊Lim-5P,◊Lim-5P,Lim-5P,◊Lim-5P,Lim-5P,◊Lim-5P,Lim-5P,◊Lim-5P,◊Lim-5P,◊Lim-5P,◊Lim-5P,Lim-5P,◊Lim-5P,◊\tLim-5P,◊Lim-5P,◊Lim-5P,,
mig-17pf_hungary,◔MiG-17PF,◔MiG-17PF,◔MiG-17PF,◔MiG-17PF,◔MiG-17PF,◔MiG-17PF,◔MiG-17PF,◔MiG-17PF,◔MiG-17PF,◔\t米\t格\t-17PF,◔MiG-17PF,◔MiG-17PF,◔MiG-17PF,◔MiG-17PF,◔MiG-17PF,◔MiG-17PF,◔MiG-17PF,◔MiG-17PF,◔\t米\t格\t-17PF,◔MiG-17PF,◔MiG-17PF,,
mig-19pt,MiG-19PT,MiG-19PT,MiG-19PT,MiG-19PT,MiG-19PT,МиГ-19ПТ,MiG-19PT,MiG-19PT,MiG-19PT,米\t格\t-19PT,MiG-19PT,MiG-19PT,МіГ-19ПТ,MiG-19PT,MiG-19PT,MiG-19PT,МіГ-19ПТ,MiG-19PT,米\t格\t-19PT,米\t格\t-19PT,MiG-19PT,,
mig-19s,◊MiG-19S,◊MiG-19S,◊MiG-19S,▀MiG-19S,◊MiG-19S,◊MiG-19S,◊MiG-19S,▀ MiG-19S,◊MiG-19S,◊\t米\t格\t-19S,▀MiG-19S,◊MiG-19S,◊MiG-19S,▀MiG-19S,◊MiG-19S,◊MiG-19S,◊MiG-19S,▀MiG-19S,◊\t米\t格\t-19S,〔D〕\t米\t格\t-19S,◊MiG-19S,,
stirling_mk1,Stirling B Mk I,Stirling B Mk I,Stirling B Mk.I,Stirling B Mk I,Stirling B Mk I,Stirling B.Mk.I,Stirling B Mk I,Stirling Mk.I,Stirling B Mk I,斯\t特\t林 B Mk I,スターリング B Mk I,Stirling B Mk I,Stirling B Mk.I,Stirling B Mk I,Stirling B. Mk. I,스털링 B Mk I,Stirling B.Mk.I,Stirling B Mk I,斯\t特\t林 B Mk I,“斯\t特\t林”\tMk I,Stirling B Mk I,,
stirling_mk3,Stirling B Mk III,Stirling B Mk III,Stirling B Mk.III,Stirling B Mk III,Stirling B Mk III,Stirling B.Mk.III,Stirling B Mk III,Stirling Mk.III,Stirling B Mk III,斯\t特\t林 B Mk III,スターリング B Mk III,Stirling B Mk III,Stirling B Mk.III,Stirling B Mk III,Stirling B. Mk. III,스털링 B Mk III,Stirling B.Mk.III,Stirling B Mk III,斯\t特\t林 B Mk III,“斯\t特\t林”\tMk III,Stirling B Mk III,,
ki_44_2_otsu,Ki-44-II otsu,Ki-44-II otsu,Ki-44-II otsu,Ki-44-II otsu,Ki-44-II otsu,Ki-44-II otsu,Ki-44-II otsu,Ki-44-II-ocu Šóki,Ki-44-II otsu,二\t式\t战\t二\t型\t乙,二式戦二型 乙,Ki-44-II otsu,Ki-44-II otsu,Ki-44-II otsu,Ki-44-II ocu,Ki-44-II을,Ki-44-II otsu,Ki-44-II otsu,二\t式\t戰\t二\t型 乙,K-44-IIb,Ki-44-II otsu,,
ju-88a-1,Ju 88 A-1,Ju 88 A-1,Ju.88A-1,Ju 88 A-1,Ju 88 A-1,Ju 88 A-1,Ju 88 A-1,Ju 88 A-1,Ju 88 A-1,Ju 88 A-1,Ju 88 A-1,Ju 88 A-1,Ju.88A-1,Ju 88 A-1,Ju 88 A-1,Ju 88 A-1,Ju.88A-1,Ju 88 A-1,Ju 88 A-1,KG 88 A-1,Ju 88 A-1,,
ki_44_2_hei,Ki-44-II hei,Ki-44-II hei,Ki-44-II hei,Ki-44-II hei,Ki-44-II hei,Ki-44-II hei,Ki-44-II hei,Ki-44-II-hei Šóki,Ki-44-II hei,二\t式\t战\t二\t型\t丙,二式戦二型 丙,Ki-44-II hei,Ki-44-II hei,Ki-44-II hei,Ki-44-II hei,Ki-44-II병,Ki-44-II hei,Ki-44-II hei,二\t式\t戰\t二\t型 丙,K-44-IIc,Ki-44-II hei,,
ki_44_2_hei_china,␗Ki-44-II hei,␗Ki-44-II hei,␗Ki-44-II hei,␗Ki-44-II hei,␗Ki-44-II hei,␗Ki-44-II hei,␗Ki-44-II hei,␗ Ki-44-II-hei Šóki,␗Ki-44-II hei,␗\t二\t式\t战\t二\t型\t丙,␗キ\t44-II 丙,␗Ki-44-II hei,␗Ki-44-II hei,␗Ki-44-II hei,␗Ki-44-II hei,␗Ki-44-II 병,␗Ki-44-II hei,␗Ki-44-II hei,␗\t二\t式\t戰\t二\t型 丙,☆\tK-44-II hei,␗Ki-44-II hei,,
gladiator_mk1_china,␗Gladiator Mk I,␗Gladiator Mk I,␗Gladiator Mk.I,␗Gladiator Mk I,␗Gladiator Mk I,␗Gladiator Mk.I,␗Gladiator Mk I,␗ Gladiator Mk.I,␗Gladiator Mk I,␗\t斗\t士 Mk I,␗グラディエーター Mk I,␗Gladiator Mk I,␗Gladiator Mk.I,␗Gladiator Mk I,␗Gladiator Mk. I,글래디에이터 I,Gladiator Mk.I,␗Gladiator Mk I,␗\t鬥\t士 Mk I,☆\t“斗\t士”\tMk I,␗Gladiator Mk I,,
i-15bis_china,␗I-15bis,␗I-15bis,␗I-15bis,␗I-15bis,␗I-15bis,␗I-15bis,I-15bis,␗ I-15bis,␗I-15bis,␗\tI-15bis,␗I-15bis,␗I-15bis,␗I-15bis,␗I-15bis,␗I-15bis,␗I-15bis,І-15біс,␗I-15bis,␗\t伊\t-15bis,☆\t伊\t-15 比\t斯,␗I-15bis,,
i-153_m62_china,␗I-153 M-62,␗I-153 M-62,␗I-153 M-62,␗I-153 M-62,␗I-153 M-62,␗I-153 M-62,␗I-153 M-62,␗ I-153 M-62,␗I-153 M-62,␗\tI-153 (M-62),␗I-153 M-62,␗I-153 M-62,␗I-153 M-62,␗I-153 M-62,␗I-153 (M-62),␗I-153 M-62,І-153 М-62,␗I-153 M-62,␗\t伊\t-153 M-62,☆\t伊\t-153/M-62\t“海\t鸥”,␗I-153 M-62,,
i-16_type5_1935_china,␗I-16 type 5,␗I-16 type 5,␗I-16 tipo 5,␗I-16 Typ 5,␗I-16 tipo 5,␗I-16 type 5,␗I-16 typ 5,␗ I-16 ši 5,␗I-16 type 5,␗\tI-16 5 型,␗I-16 type 5,␗I-16 type 5,␗I-16 type 5,␗I-16 tip 5,␗I-16 tip 5,I-16 5식,І-16 тып 5,␗I-16 type 5,␗\t伊\t-16 5 型,☆\t伊\t-16\t“毛\t驴”\t5 型,␗I-16 type 5,,
i-16_chung_28,␗I-16 Chung 28,␗I-16 Chung 28,␗I-16 Chung 28,␗I-16 Chung 28,␗I-16 Chung 28,␗I-16 Chung 28,␗I-16 Chung 28,␗I-16 čung 28,␗I-16 Chung 28,忠 28 甲,␗I-16 Chung 28,␗I-16 Chung 28,␗I-16 Chung 28,␗I-16 Chung 28,␗I-16 csung 28,I-16 충28갑,І-16 Chung 28,I-16 Chung 28,伊\t-16 (忠 28 甲),忠 28 甲,␗I-16 Chung 28,,
